root_id,shard_id,classification,manifest_allowed
07_governance_legal,04,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,05,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,06,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,07,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,08,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,09,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,10,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,11,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,12,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,13,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,14,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,15,BLOCKED_NO_IMPLEMENTATION,false
07_governance_legal,16,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,01,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,02,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,03,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,04,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,05,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,06,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,07,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,08,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,09,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,10,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,11,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,12,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,13,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,14,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,15,BLOCKED_NO_IMPLEMENTATION,false
08_identity_score,16,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,01,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,02,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,03,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,04,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,05,BLOCKED_NO_IMPLEMENTATION,false
09_meta_identity,06,BLOCKED_NO_IMPLEMENTATION,false
